name,country,team_type,position,pace,shooting,passing,defence,stamina
Aina Rahman,Malaysia,women,Forward,78,72,68,40,75
Siti Noor,Malaysia,women,Midfielder,70,65,76,58,80
Maya Lim,Malaysia,women,Defender,66,38,70,78,72
Nadia Tan,Malaysia,women,Goalkeeper,52,20,58,82,74
Daniel Tan,Malaysia,men,Forward,80,70,62,35,74
Adam Azman,Malaysia,men,Midfielder,72,62,74,58,76
Ravi Kumar,Malaysia,men,Defender,68,35,64,76,73
Hafiz Lee,Malaysia,men,Goalkeeper,50,18,55,80,70
Maya Galea,Malta,women,Forward,72,76,65,42,73
Clara Borg,Malta,women,Midfielder,68,62,77,61,72
Ella Vella,Malta,women,Defender,62,35,68,79,75
Nina Camilleri,Malta,women,Goalkeeper,48,18,54,83,72
Liam Borg,Malta,men,Midfielder,65,58,74,62,70
Noah Vella,Malta,men,Forward,71,68,61,40,69
Sam Camilleri,Malta,men,Defender,60,36,64,77,72
Kai Galea,Malta,men,Goalkeeper,46,15,55,81,70
Ana Silva,Brazil,women,Forward,88,89,82,45,84
Riko Sato,Japan,women,Midfielder,82,74,90,67,88
Grace Wilson,New Zealand,women,Defender,76,52,70,83,81
Talia Brown,Jamaica,women,Forward,92,78,70,38,82
Youssef Amrani,Morocco,men,Midfielder,76,72,81,66,80
Aron Eriksson,Iceland,men,Defender,70,48,67,84,82
Sofia Reyes,Philippines,women,Forward,80,73,69,43,78
Mateo Lopes,Cape Verde,men,Forward,83,75,68,41,79
